company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,fondata_nel,tipo,settore,segmento,entrate
SMART JOB S.P.A.,,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">5<i class=""css-0 e1cjmv6j0""></i></span>",6 g,https://www.glassdoor.it/partner/jobListing.htm?pos=230&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_24fa21cd&cb=1676371189401&jobListingId=1008456750227&cpc=26740BCDE5E48596&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-6f12222c5094eb03--6NYlbfkN0AmfRD4Zp5OfUsIZ0k2uBcG5JHof1vN8ikAlmxrwZvF2A__0Vg-b6PglnfVvJ1sA_1S90E4EA0RBxRGbBsp62SvIkX0hBuTucFsqUY1K_dcI2dR83AzpIUTEomlnL1gm2uitZnZscHX8ata4y7f-Wwp9BHlJytcd_Tn4dhlCp9ZFVJ-jQY_OuIQyInrnXHxTb8qjQsfYcZjpjpsu53NsvW4cig7IpACch4jkqtifBZPxFMlJzpKQ8eTGA76MhF2Nml8jvwmYeGMoVR71-aAuk0hYRJdE93LwJ3NgRGI8mKV-kK5gXx7QGzUzpNY1fD-w1bRw5K6eGzNZfX_rg7TQ95DhpTwViY8gdJDgOyoD_DK_9xthpxYAHO55H448_KwwOceVj3EdW2sd5bYF02ms1rgS2of_jAyCDokXpz1zY5Gcoa0asRBgtdjZ3MQKorTfU-6ZZUdsqG6buKWSfmWCSZVevhqP5upIZtaKZu8KyXJuUuUkrVk5DJYWwvNKpiwvgpT5RToZeNt_hqNX1p5ddUC0-pvf6gcDF6tuRL8WRBIbIEHzx-aN_aHfkOtgeK8v-QElguCvsaTUhVb84u98srwhIKgXhdSo7SCcNUDrJziW9N6okzk3nT05B2TZL3z_II5D6Yg3RYrc4DQSlxSqaYCZ1HUM31JXrklJMXL1d4dtKHvQKaO89mQuadwh4DOJyN1i2cNTjvGhpM50EktgLnO05q1BZfQT55clpOyMTmxTnWTlmUek-LydWyvbrBVJAJDX9csQivRDK6v1KBKbt7Tg71zpWOcsRroGOdLcU9b9UBaY3SX1-aIRsbpjxx98kinS9G0bpnYdQ%3D%3D,3.0,3.0,4.0,5.0,5.0,"Caserta, Italia",Sconosciuto,,Azienda quotata in borsa,,,Sconosciuto/Non applicabile
UPMC,Infermiere,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3.3<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=301&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_72933321&cb=1676371200485&jobListingId=1008404764588&cpc=CBEBA1A9D941894A&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-d57adff3c6ba888c--6NYlbfkN0BZstVL3SHRDEX7E9ZMNUdtUH7GbTWkwqii6p0zZOnTeuTMM80GoIe1VMlFblsGp_ZzryI4mV4n9R4RAWSftyJjPQDlsFR-vRJEPmAm_mc95HecU0utpgSDGNqVk6wnzENnSkx9u2PNp_dWOJsKiwTqw0B1Ca1Ew1GBlMklzuSya4oeEZ18LUypiyIP1UHBjC0znyYZqyca7_qhAZkOcXzTz-jYaMW9RR0jNqCqcJeLUi1oCXi5N1dFQ3RsiHyGkP08hABAxt6P3w3cJyVRHV2tYj9knK2a81vfLQIJa2dvDClavjo3fbH4wwX1WOjbFq41sYBahEBtES5vUyrhc3oRuqiKzShG8_R1SuMJMdIrTfbJpAC0EpI7AiHN2eLY_au2IaSIcgQVZjFGgCHKqjZ_TPWEop-3EDKhvAFxetlMEsk0PJqSfE3JosSw86YpcDnRTiZZSLfrTrV86K3NX0DTxpt64QPd_HORJFK1OsU1XvqbyY7oFAhC6Q1va-glV85KnxxpLEXmshoTvU6nvvk0uRzHhLZ7bJFs8XqsMlwhyIOlWtkc2MVcjIUn6XLDuKGYSByKALonioAlTO0DC7nj24whXrO72N7bOqhXoR9jsBlJhOyOm_WzTiZbNH12lokDwevNF6k7_Q%3D%3D,3.4,3.0,3.3,2.8,3.2,"Pittsburgh, Stati Uniti d'America",Oltre 10.000 dipendenti,1982,Organizzazione no-profit,Servizi per assistenza sanitaria e ospedali,Sanità,Più di $ 10 miliardi (USD)
adecco,Tecnico di Manutenzione,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=302&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&cs=1_53c5abe3&cb=1676371200484&jobListingId=1008428772612&cpc=C19BE7EA145E205E&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-0aa8f9bb34ee0fdb--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFK7AudwSoZPw5olmPJnIU8hpZza64dCYJcqlXtCfpXOVJVWfHcvGOBxJ3HvWUBzUcy-tQwyz1z3J1_jC6QhM_SAaVe-MWjGPSMFGb3T9cENO7RGr9oE6UbcL139BIKJneWjgS1z-2g9lb9m8H4TFoUXgQO7ZZsVCygWOrvDWdclC7OV4TBY1S0V8l00fwZw7JmQ5DJx6gLdJMfe5q-jZFhlMUecMLqww95JOBSkV5lzlrteu_9-nvLKElAg9Rw35pAXIFD4HqRrrCAQOyvoXSGQ2pQpyk9LRDirhIvEcs9FqkN3RXe3AqFtaFKcHN1vQa1wly2gM-bE7DdE8CR6eIp95UErT8JBWhTUGSTw_efkyxVyL5UxkTphuWUPgNHm3IlIsxpuCPwoD4_eltfQi5wpvRAeEbwZlb00t_n6INuM6Fudm2yDQzV0ng7cTr5dDsLEuGTtt9lirz9p-mvKBhuonRQUCrZeHR05ZgPBTkPGAlU6R-PHUyPYYjy7EdKe1GvVvTGfxH19U0aE-TNvYkOpnAHD60tFXdpC8O5fRvoUxuepqMNT4vU5Wy310KTf-04hn0o7vq9SKiRR80Lmt9vbS2cbCZkF-I5Jbe2i91caVtE9I6FYuroCRgdTY4xYVU32F7L2Q-mu3FEfHqoB96bCuPy14e3TpTqm55wlcE5HzFgLnn71JV9w6IPFyVxXPp514sQwz-jF8Y-vIOcVsmhE9qYf496MvykkyZyLs2RiDocxHu9MM6pxPyo4-VdjEXJ4nbN9gtISCTQNXtC_v4tjQ%3D%3D,,,,,,,,,,,,
SbS Group srl,Progettista Elettrico,Pozzuoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=303&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9841a617&cb=1676371200485&jobListingId=1008313030183&cpc=878687325D2A5CC7&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-e5fcb55d18857fac--6NYlbfkN0CYX4WiTdyRxBsbF-RClwOjrZ_HuHz39ldLM56h0Y-6XcbQWD2xL-ibBsmf_hv7lpL0oWLh3pEbUuMsC_PjUjHhgY32gEIvwtmenNDwZBzFpVjZv7s5E-zC55-P_iZB31z5JMh0x6yQtjkZk50P_cKOSMcvGtLbW0qKJO427bsXFSbzslneG7no2QR9MTcWNRlMy1cABC-7cNtl0uGlCCJuzBQpoCsaJMxkra_CLeVRXYR_qGxfEIw7rXG3XiyJQO3riDBRYSxlxhUkIIFQDb17Ev1awtPLqyW3fwqIQwJu6hQeI2jUM15MHLfbzOGtiHZ-Vr9H7P49yUXDsEB4akR6vrW6D0rj1W30RX53_CNTMQKjAKSWjqIvE41eaZMP8p3FiXjWCBEZaIIYt1vxM55e4VV_krLrNbn3xeIE62JrjhLL6qXH4GaBn51WaQXcHjvStVvDiRPOpQ-VB9511XN2quNCt7cJKUjgYd-g8rtB6zXMlnBNAcKq18bYUtmO48f80HNDJ6QVNklBsp1-VkdtMZeGJCu2O-SAcWCp0VZWsQw34kVyt424X_5f_40i-BxfofcgE5r-m6lU07TofnR2,,,,,,,,,,,,
Poddali,Addetto Alle Vendite,Napoli,,3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=304&ao=1136043&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_23a1a1ee&cb=1676371200485&jobListingId=1008464494199&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-ab0fc07fdeb84d8b-,,,,,,,,,,,,
TMC Costruzioni Immobiliari Italiane,Ingegnere,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=305&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ec1704b1&cb=1676371200485&jobListingId=1008171039865&cpc=9952A63AB06E78AD&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-d72782f2a8d71be0--6NYlbfkN0C-Lnb7_yC1WccvESzQdnC37jF7ayyFMIfSJLprCqeK4uHgg-s3Mxv6zuofO1GKYHV3jQia8ugIRdH4JOBvUwWMvxLQg7IYEC0rn-Xbj7EynbFraOZfQlGrf-R5TU9YS_iNGVRa6cchWaRrTWKc3_AsygB-yHuZa_kNypOHCsMiEuats4BRl58q7BZ43i2ej_n5ndcUZXbz_YxMEVJ2KF-V7aez7bqVpBAV_11m0YsU42_u7q6SB4g930k7Qlz9lY_hKrDqFwhu_f3lxi2LfgQU83Bc-SbWlsQCHFqpe8K0kq3Jx5cDzyRnYFjPqi11rZlZuXYTyS5x6wcecgiOS6EdD51XPl8YtI8t1Lgw5KdNixJ0nW0F0AtgCruK5Oi-lE1Yb0t0Z98p3T7SQIDWUQAEZaV-WGvzNwXkiVHXLsW7zXFxyZx_-bUizfzEdclAUiNHCuivTLiKf-deFpyeoEWcOtdR9x0dzAG8khrVK9hH5DHsziMqMY0DgNcKLQ4pPG1AdJV2BxpCUlKNzXzjdhG9twbNGYL3eF9lm3H1ZYoqEin_tp4zdX_D-OjMhz150UTYkUCcCoj380p2ZlpBsGPYuEhHDjol8t8%3D,,,,,,,,,,,,
Emilio Pucci / Missoni Capri,,Capri,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=306&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_da6248db&cb=1676371200485&jobListingId=1008340897084&cpc=39A4E8CE329AB187&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-d1dd6c37c3a265d1--6NYlbfkN0BR36eO4hqIDTbqTo_2cpy37UVArKBzN_UiQbKMD2-MxBM5xPG19riU6Dn7B5N5GGhCg6UHFb2y2RQI1D9Sq7pacmOsVAPiGZWjvtWv6Nn9I9awcGXZ0U9xT6I7hOFugJ66VwX3BsE2v0sPnlBg6edMGcGe4Io4VOx5W90gnwhlNqwuuaCjTqJsvNRJQRCDobUSQzUUougotJrqfmnYNaOVOk0ip3AoV9tn6ii-butlr0MOqabWJoJNsn-dIf9VbLTP6rVqLcS84MKANOkkA4AK_qg-JRi6vXk8TkWy4CpeP4iRH1jmEABPMVrUzBsLi5uC3asdcJnjCouwkkJwBQe1IHXNT0clXwGYtJlIInWuhBpZptqf5gvbPbhFfZ8Jo6XCDEAttlKpunG1daD2D8B1AimPsh3I-3rbkqt36SLxNSuc8b81pIef8wMapjfYz4-j3GeTOa5_PcaQ_22vPO_Jk_BrTqgP5GOFcjPOqdQukdA6aMbAvpkID80epiatS_R02xJUoA3f9b1y2PV9K3Dn3CO5mRH-AwYTTnXhWr0N7o42hNAupfP1lBl-JhQOcUY%3D,,,,,,,,,,,,
Ristorante/pizzeria Saraceno D'oro Positano,,Positano,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=307&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0be7f405&cb=1676371200485&jobListingId=1008192251431&cpc=853DEF62E69EE75B&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-030f0197ff96efb5--6NYlbfkN0BCnNc9XklEsw6qBe7C1qZQ0TEnG2qRfuJh-u6q2TPJSGoRCUaxMi_eA5F26lW_BTa3hmxxMm7YbZLUC89gMtjqKsRK_rm_YORE9Er6tL86KdpeVmHf1834zUsPhk3HosUKdjtytL9szSW2BIVh2upXiBYUYmxWl5Dyk2W6cnXk7r3SZO3937jhu1XlUWY-il93ui9tLrcisYukFmAwQ695LPsEwG6XZub45-1C2-o4ayXZkp6KLDTVFMIOaHKEYZPtdXOZwdMIEoKQUFVIyrYyM0Hx59qGjgy5LAX6Pnzd85EIpv0w6SdU5ATKSazpx1Xsc3Tv2DVAfu1A5lBXIjnxPBwwk7k-Kf7xR0hOPU_FJXYDi8Vxrq8TKco3-GHTTQKjWjMGzN1thYkjQ6gxb9atM9fciwS1B9Q89kthwfDRMiuJJZZxoVElFwzB6YGh4IH8VZJtIy8EcHUeAEXAQsFhcw9NOOoJgJGp4PNFnB6tt_IggLIlMGT1Rk-MkDk7VtxxN_2tD2gv_lRKokZYoROBG3Zed_bSaxWWf3t1GCSbw3TFqJAjL4jx9uOgyvDhBbwVQ1HB7QCQDg%3D%3D,,,,,,,,,,,,
Sidelmed Spa,Rappresentante Commerciale,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=308&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4962026b&cb=1676371200486&jobListingId=1008282287946&cpc=4050D81B60456B41&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-5e13f453cc386578--6NYlbfkN0A86avx-26YwVnIFq_ZjXZEl2avTvhFVtir41NPTTfuDVP4fQAQVb8hx55t3HyCb1nQGybs4hRxc4OgFpVDei0j1YctwZ8jSKhZTL2w1dXI4_EbyfwT_8UgVXUbVKDB7Hg4GMain8SEnsJXkpUfbWZR3i1TZKpnJIfi-rK-4uEpAV9ZRfWr6AWovGWLDyK8smhAvFz2flfw4YHFnB4SK9VrU-tAEQXjsI7AcDRq8OdNdT5zvfgNKHhV3PPBsfOy98luJHeIghUsB8vHbBhG1u-DN1G8DwxgRoEB8p-VVUZhqPpCsd3nwEBH-aNd7uM6z5tPMonYL0ue23ueKhEVUS2tFY-ds5qRWdhAQ0rkdtRTYrnAMC01lnvGuGP8Nmaatkfdp_CEZdbfZ6v-jR_54RdQONdvTQfxeVoCjM92EzVPMKFuAkyyNCG7KsosoOyyanc3hvnnIvf6aozjZiYj1cDcQ3G5l6bY94oSW_CGlnfbWO_qnSGgOwFmRfA88eZ8VEc8ZvMvoztFztIW8F26mLW32WvRGrhSrnevQFdJ-GBQhTGxxEq39HmqpApmBiNA4yxQrDWX3566b4Cd0kxj87ONgv5n0akApYc%3D,,,,,,,,,,,,
Laboratori Signorelli,Segretaria Amministrativa,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=309&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b69d2e8f&cb=1676371200486&jobListingId=1008383067303&cpc=0FE1F5EA2BC84A01&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-305befe69fc225a8--6NYlbfkN0DNTB7som474yfA06PRfAiv6FGvrz86rqeNi4BtmSUaPaLGoSltPLO5wP5P5oqD-ncnbcQhpFMIXBO_6rnaoW2cXTUoa1Jza13d2Qb9aHrtc6Fx5Uzmh0jXdifKBWNvjoGo3dnd_E-1wIm_Amrpy2DnTE_c5ndlVB0LXRGd4R_vuDfYhBFCn1KSxYOumQUYRJRXELqigAywUCEkNfKcSwlODIUrdE9EGm3ki_XyBJWAWJYfM1XAjIuFC6EXHrtaj2FwPGNXPiRg4zhg70Z23Ypu6HbxsxKk3YlvCybepqNAhLE4ignJlhmuJpXLp60N3YhgNl9rbZCB8Mm8GluNdiOHf9-Z36ApYWtaC7N4LUsS6Zc7joRMvAhuPMvdSSNPq_kxwmMe1I0y9Q05lJNSdvDcTZp39pLCg8UXWhb8wUrvYp6tK3dv8hfJBURz7v4iAmagqqBeVMNhw55mak0NLetoi7kItdiVRG9fat5dJlUvklsIjScBN2deeSQPS9jIvGO_zeSv7xZcuIfThypbyjSIN1uy_lHtTucUHEKaYm_li9BbdtHsYFJ3GUUne4Y4lP6f70Y7MIaKJuAkeaT1ARoyBylMBKEkn9QLudFE6IHiZIBPtjhuJq5vvTaOXvgRHRc%3D,,,,,,,,,,,,
adecco,Marketing Specialist,Casoria,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=310&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&cs=1_a611d062&cb=1676371200485&jobListingId=1008379686718&cpc=BAEB662971763A76&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-48b187b2195c2751--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFK20tfsy_nKZzWIrtHKZnxY_ijSlh2aH5v4GqGAFVOvbSpQO6X5aXjVIuQJmaKN7_V5eztrx-sFSKtTWMzYSdC-v7uA4goAYpnideLUbG6q7pDhRiNBcqGbCY-HY6UX03GpDAJdJ01POiluyVDxTgi6PVzIagVP1vJ5nAaF-DzaeQ2R-BgWPsfgCq4JFV7IDGlWWYVHP7WHtrC21ve1sTIUuMOISG0tkgQ8Sl-n6XzyUcL7BLINbgUbG751JE8jcvc89B9AqOoLCoZarKavoJWac37-hnvus2Qx6e_vS0U-e0OSJjcx27MXRZ_I90X01rUSGbMBVDRcn7C7f_N37Fpzu2RW-SJgAEabCeRLeHTPV0E-vSPieDHnAfyo55oqbQkvYykEzl6p1j_s3fVie3N6tRTNt9HQv0EagEVhyYeQCieNyCABz5xW2a8tkztG26pDDQmkEkAYTcFS-ajfkgqjjbN947ao5r_eF510CyVPH511LAzECEKqNTA0gRJjDxjBS_S5Tyf7kmgxR7cpe5khObOPhtPy3WoUtk6_wmOA4v_a2-zxOoa0NjHJXAS_-aU57_PFsmypkD6Mb4YAza-UtdZDT8M5RHaWNGbKm0X4IV2hEOPiXdIuwQVzftQLUdUMsV5cGTpC4ybJw6kAxeuPnQG8igp9oPZFMXEPIkI-UffY5G8t819VLOzIWVQHXRArqpDbhPY_ulBqY0kSVyOQyfgGn9o8SIt7t44D7XIDZZ43iw4gvhmUBHz0eUls-n8y6-zG3lbMLaYjb2hQVhSkw%3D%3D,,,,,,,,,,,,
TUNAP,Tecnico Commerciale,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">3.8<i class=""css-0 e1cjmv6j0""></i></span>",18 g,https://www.glassdoor.it/partner/jobListing.htm?pos=311&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&cs=1_21c22c65&cb=1676371200485&jobListingId=1008431055796&cpc=7AD1D84939BBEEF3&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-4d048010b9fa78df--6NYlbfkN0DubfxIeD19H5_Tt2I3UQZe9PozSs-sSaOHYPlx5_0FRbhH1YSDsh6Bm-XOU8GD008pqK9UGhEVB-Y5Xa6PMtUZbkRuoguK1DdCtuNACwcClb3oODfL83kZtasaNKaAZK9KVtW3XdQl8z0nydCp16xIBr6kd5u16XhrDvG1VlysySkI3_xhYxosJ4ipdRqavlzquZqsfR8czuRMvub3nKx4vzlMCwEIvk9is9zqVlx-sx-rpWgQSLwVblPOKakoMtit9B4oB9txch4GkUBR39aCbKJEdogLtwy2YUJUQfuK0h1mUe-ZD9sFXvHleicTd7KNG653Vqi55CvEHzEQZm_obD9g2kmr7eeHeFbv9qnmraJWphwWa0hrfasrLllfQJnAiogDBTIUr1enZY3qrdGafY7mPBjWtCgUBpS9eUprvW4hVUUjQOenWVRleNxuifC1Dgqpw1r5uB8rITwexjf9AOfBwiCZQT5Iq8WG_Rel-nO173_UB7sxfibeigkq_nqMf8nJDXpvWVstMBy5oyAn83qjfZGdQIbL9J52LOKvk6BMeojxkYRb,,,,,,,,,,,,
Medical Care Onlus,Medico,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=312&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_39e0625f&cb=1676371200486&jobListingId=1008373936416&cpc=0FE1F5EA2BC84A01&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-55073e87be6b1085--6NYlbfkN0B-35dv_crH1X4UyK9tPYWUQ-Y0r1nGcA_ro1znp3b5LiTbkAiZg8-O-liasAkdVJQPN7BZNr9Swjz2AbIuw_8hPvM_xJ8WwIWJJA8V0BF5kcrkBNsxFd40XzLhCOhUvI5XjiqWzRf5YoiTCb1R2YYMDRNs-2zf7s9o7Fs3-LBncIemXyFrxoS2Guw8DMdkXUWNauDqPaA6ozK_LNZwxnlDjxiiNIc9JeN636vALM7SrBK2kEYSlJh8Ljr1nAMD_kanHuDVrh2_DNIdHzffibRWZ4fCDmOS4lwFbfZY451rUycdoCTEG6LQdLQFMZdTZ5cy5X1SPHaTlMDuseUGOozYQiJoq9q-Sx6SmkOJbQ1bZqXZf1QzJCMlajOQaLGEY4qMmCRaizClPrjyznzlobyKPATZ0N-ri6SkJa6VyS-xAdWZRZpsUfzTfNGJd5QHoyEAy-ZoFpMUGiAe0HDalwvilJZrCh8hk-vP2qu5hfEWfySRCZRyc09jkQk9yqhAOGLyngDt3e8P7yaMGwaaRMSPmpA_5wzjwGb1CGmUDqVrlCvFg2kUJ_9M1oUW3qzr-K8%3D,,,,,,,,,,,,
AVIATION SERVICES SPA,,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=313&ao=1136043&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a3a3d3aa&cb=1676371200486&jobListingId=1008385256615&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-3a96357530f9500b-,,,,,,,,,,,,
Gruppo Toscano,Consulente Immobiliare,Avellino,"<span class=""css-2lqh28 e1cjmv6j1"">3.3<i class=""css-0 e1cjmv6j0""></i></span>",27 g,https://www.glassdoor.it/partner/jobListing.htm?pos=314&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_28dc27cc&cb=1676371200486&jobListingId=1008412051483&cpc=632C08DE5A4EA969&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-a3c92d2aba9c0110--6NYlbfkN0CAE25WKHRc8ounduZQRpJKujV3akn1MC1NkLfQxJV2UOO5wWzQjMJ5IomsQjVVEiotlvlJkL_V4X6sGTcNrIz7HlSl4OhTT6RhNe1slzJlOMrZqDSseEcdtH_xolUfNze8WFqsxUNrdVu0DwC9om4aQlTBFxU261mnkntbs28VOa2xBi3Zqr9PUh7eq_DxWLeP6dOMfK70-ZBq5DFb15QQqFqbPrX_fBC5R5XTF3GZ9cVMAwf43hZAA_aFeuzbWDlBAgi0stIVozL7pGsG6lab9B4KlwTOYN4NvQWGYUdMJmxPg2U4SSYNZ9YZSxb7D1QrcwwfH7CgNCQjgrTChpupDyCttgl51dneZ4GSXgVm0f2YksutrY35H-4U486XGuhwHv3BA7cY06ZrKUFJkC9ivmgfUFFYfN7Y37WdpZ5LecP2jQfmejLumq8yZuAQdUHI4l478jRbGBFy8jXa4kxg2hlyV4diyX7thUnplT3ILQboo8-gHd0GfZ1o5pjJhg5HFEbXUcxxEkHg0PelpZEhtQI-IL9q5KE1I-kMtPsYtBndAznf0rRoLEiyWEv_H5L5uQmRpHdqJVxllBthnjRDh-p3AoXYgnChYRdO2jxI4IC5Sf_8aBt5,,,,,,,,,,,,
Big Mamma Group,,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">3.6<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=315&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5a6b9b53&cb=1676371200486&jobListingId=1008464442573&cpc=6193B0C32834B022&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-776767ac487ab57a--6NYlbfkN0BpVe2MUpNUB1q_v7eYED4vHKFBT0wLGsHQ51zCE6vDg1kCU8u1wxpEGwV9X7eo4mYR2lrjO6Nep_isYno2_tt_aCgQv0rsJtkAgnVfEvFegRz_F3PSG0EUCHW9RHQJTMjuGQOXuFRScJmG4B8gHEV7M6Rxum6tEt1iPZ_leU27I9azf09HQyYZAPcePF5MrsQa6kPHue8Z_fEGmenhT9kPcsehl1O5KCfvy55Ccu--rAywe2uNuc9lEYFas0AGx4ROwF3Xe8Fc83PhflyiS5veSO7py8dbeFDmQIkWu4tOEwOEeQfRZMzUJSR2M_gWis2ELUHdaaqAUrsayuHgPpvFjIpa0mqJDlDjbVVjYVf5t8GG1lvPRQs143Z6R3TTvkMv93HzP-JrbAQCMWtraQJDcbWnvaJaix8Im4EnwSfq-TaKTKcTM3ysOCn8fz9aSD9vDjywvU2LQ0KbpuBldGAL0Tj89mhOPi6HBjlYykJpWhuUx-5rrfs_n-VtMV_mkbxm3TecziWi6qeN9CrmzJY-MqsbSoCKrSS-tq5M7B7v1ZxgK45pWvb3cchrHHWGAi3MtqscLI46jAvyiLB8tMH_JUG-038OD6f_IEteZhCJVdAGu8e-AHuTn7-qXmH0Ikw%3D,,,,,,,,,,,,
Gruppo Tempocasa,Addetto Alle Vendite,San Giorgio a Cremano,"<span class=""css-2lqh28 e1cjmv6j1"">3.9<i class=""css-0 e1cjmv6j0""></i></span>",2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=316&ao=1110586&s=58&guid=000001864f82886386d76659c363183a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9bca3f5f&cb=1676371200486&jobListingId=1008465886413&cpc=F7A2269C793D5877&jrtk=3-0-1gp7o5247kuha801-1gp7o524pgsoi800-ff8cf3c8cfae5d62--6NYlbfkN0BqFYcnGQtlgZUyEPNOpiDdgWIzo4J8ITPECTVQq8Qp8cTfoGaBG9wTIl-0lZbRJGiWq1-n4OLTR_eL91eHJaM0hhtfjVO4cfx_tbiD4L3lziVPC3UiL--eZp_lgoSpPnPkeLT4Im6yicRzrzOFZyupc0BVl5ZDmCuyoR99B6W0cVVJm0WTnns2Dxok_ftXSbJMzowmn_yTGA5a7_0yPVarga8ZsK8Fym_tOv_iWFvBr4MO5svtQoJQwFSdYwzcDqVCpIpkeYI4XZmkCtiOjbIz4bo4f2AaNbloHFAftPz8AHsobn56UgsjUa6_3q3s9OOGg-JpXszsWNESbJ7ZeISu02ND_lS3Utvq9Fb6n7qwpKyCcfvmG353GwjxYIRPekwncWdTjB5vVJNLxAKNJmnGIB-65XJVvAooahLVA-IQOuECiF1WrZWqgxR3dkMPwZsP4t-IFcuuc8RGNbJ3y-_Y4EYUa7hBFnF6oioz9nGo5D88PfmxxFPwQIhhNCjIJEIuLbEzn7fOT8OIkU0OMP6pRjfSg3Y0E65YUafKajO2q1s_SrRr7uWsppzKRX5xscbd-1wtqh_wOQ%3D%3D,,,,,,,,,,,,
