company,job_title,location,company_rating,job_age,job_link,run_date,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento
Guess Italia S.r.l,Addetto Alle Vendite,Italia,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001868345d2308b35c6a2dbdbcce5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a75e3325&cb=1677239636886&jobListingId=1008489219957&cpc=43E37B7B5399EAEF&jrtk=3-0-1gq1kbkifk6f9801-1gq1kbkivgfoj800-e043527c3bd8e823--6NYlbfkN0CA67G_SAGmLKr1-1zGryutA_KuKy7K8eYaAWAKkAexSLJ-g7tP2z3xY-Pu5UHMF1qMw55Avltwl16sMkSCFv_vJsDlPdQawX3Q8Urk0A5Fn0Goe5HSk4X0ysuoN78ZLEGPzZ8Jv8Yc2wdjBZ12AdCgaqUCi15BR61eqsq0s1nzpG6O9CxIm86d4Kt0Co4NRgVcjvo6ox2-D7gE2IX_pGuWX7s0d0KUGRbNLbgdK7zB6yBPRhOSWGsB0gwdp2JSVKAfdT2DdJUp3eSD6phPo8Ezg70LoNoZ5TD2--rAmBrP6xaJrktsL7mGsv02irbem71cELwRJR24fNFmGuoGUmMiOm5zoL-hlwpVvNy7ak8682ctGBzuCyHUg7LJKqaA4Zvl6DlUdtlAi2Z99SIhvuuO_SBpmACuR6NadyNiz5rL8KTA8qcg4Gwp1rIZqYkA1SdQvI60FjxQej_HECABc8GN5c1-h10yTLpnjEBE43rmYEOVucepDyaVn-rDJNuXiobV_1JKGpqfYDQU1W2RljZZLgxHiJtM1jOl819589hnHcxmvFAKVbjwF-9kNpDCGybQ8zHCNmM5eKwGTrj79BJN,2023-02-24,,,,,,nan,nan,nan,nan,0,nan,nan
Facile.it,Responsabile Commerciale,Italia,,29 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001868345d2308b35c6a2dbdbcce5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ffa2631e&cb=1677239636886&jobListingId=1008428542711&cpc=38E0756619F973C7&jrtk=3-0-1gq1kbkifk6f9801-1gq1kbkivgfoj800-9de9e4429e682922--6NYlbfkN0BmDrR7OGR9gJmF054fDOj_Irftsb9Ib-ykftL4-GTXRFTKRWP4aEhPdtGYU0uzziyByPg69YTdLMCakA6i5STr3NYrHxVntkiwvre1ra5QIHsBWyWtRjkykNtrmuTRG03d6CE59kcbq_G3XYOw-Dckdex0aHIaQSEw2-5GIcynhmAfsfTrPXNt_c7liM1MV1HpXOYP1ivzD1Y0lt77H7G2UiZsYHEPWu76m05NQB8Q_KyHeT0Q-pwy2Uylqx0UWjgxARHHi6bWCysaku35HDaY2OzepRVFTchUojIlREUvOpvpAf5m-GB3DctyA1MG2kOZwC4T1Ezb2EhfEB6LHOJoc6i7p5KJNTEuqt0ppcviI2Mrvv4nq14_yVcaMAOzoDGwIHOTDz-Rap6sXMh334ZCGZv0i8gnOiqmdFNN7dJyE1FrwLipi9rH9YZQWup7DPcD4njeh4zl6wm2p75uRSoggEYCrnRPdvqh4rp-z4b1JeFIJ-krvyA2I5QzgUHyCAZZJd4oTlzM0p5POfdEV0CbRiR2Lkr_YazGMpiTMAzRd7N3wJBzKGjxjLdHbeF-qQVFkOH2lJHrBbwzeFZ-ikJP7VWtMO3AQdEq2x9uJm3lqqZ2PvcgIXyM7rgpnUXNMJkctL9MU1MkGtTcAPbLrgRK,2023-02-24,3.9,3.2,4.1,3.8,4.1,"Milano, Italia",Da 501 a 1.000 dipendenti,Azienda - Settore privato,$ 100 - $ 500 milioni (USD),2011,Servizi Internet e web,IT (Information Technology)
Guess Italia S.r.l,Addetto Alle Vendite,Italia,,13 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001868345d2308b35c6a2dbdbcce5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_418c6625&cb=1677239636886&jobListingId=1008464381753&cpc=B1361D5F72E3FDAD&jrtk=3-0-1gq1kbkifk6f9801-1gq1kbkivgfoj800-7477f64e3eb1b4da--6NYlbfkN0CA67G_SAGmLKr1-1zGryutA_KuKy7K8eYaAWAKkAexSLJ-g7tP2z3xY-Pu5UHMF1qyJ8ZQo784jUGrHvaprqR1dURmLSaWmQNpeRe65l5kDl7m5t6PYQaH9L9-WSsaSQJa6GWRfJ6qNsKGcdJRAmTTOu7AWq5fd00qyjUU60fQXw30SwJsUsD8VSvwoqUtkI0LA6Jn7oLpoyyXDtsNQi7iRVG2Sfj-id-TBbIDFZF4xLZ6ZPpqMQHDnAYzL6jCi3p_ogmPj8hjLRL1Et2qPxNQxxPs_cThsx9izUvoPCMRHj7oLUNXp6WJ9IfB4CYKZwkAsYqR-qEnUGlLk0A_Ufl5KpfUAJ2z8FSozPxeTh3j2Vn0msPBrWQQa_FgaEOrxp17yBQXdKN6axkUcwa3ySlaL2TwDU81By5yJJaNULnH3Zw1HcQ-aAYXjaDUDmgI-O2rewiG40BOaWEWvuoDFNE5hLDNXIVZaC_F-NbbXtSz8FHZHSlHuKDqtrdIsx19Za3CkEQEbHMw67EZGWRmMSZ2ouNOqOAqsz3VzSpyBxyEhYa1YBZbxTw861r95ZEx4PqXm6kuZmzIKtHylyuwU58Rz5e2rFBWj-WdFOZTYNIX7QRZ9HZiEWXI,2023-02-24,,,,,,nan,nan,nan,nan,2011,nan,nan
FACILE RISTRUTTURARE S.p.a.,Ingegnere,Italia,,27 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001868345d2308b35c6a2dbdbcce5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_186a1806&cb=1677239636886&jobListingId=1008433123027&cpc=E612658DDC0BF6AD&jrtk=3-0-1gq1kbkifk6f9801-1gq1kbkivgfoj800-4027d9b378585274--6NYlbfkN0D4PQrJV_PNof0-lTl7GIcMWDlUSPrLpH4uPE_IF_rtuw9aPAClngahZdIIQMhdrEsK_MP6e2YynRQzIcL_Dg7mvzgVgYocx1USELv6k05gUZPLhCg0sYei494sarCbov4nDHsclPBlcpfCXp_fDrJtgJJXDBnngpcaQbsNybcysUnJ57bg3bzwL8884Pen2Otg3YF6-KZRbGGI7KpIpHhFuml9ONusA12VbCzpfus9aGDptCODFGto7pwD90IRk2vdtS6lhvtdklLh9YKVNrmtFbXCqg_XWc4cHh1cYRerNtuYZrGHBx9FPiYH6F3OyvNviEACYBGhzXTxzP2OE5QTNm7n0uJ1bQRW3gLJ_I_mreNV8ZrIOz0Ggq2e4FfJO6UqgcYa1Khjq7CmEY_nH7-qXkISo_fPOacvop3sf04qc4cHFBfnSYny5VHkmvZQC4F8M_9q5kRxqcjt2NWEjSXC20zKVcj0uFJb9XPzsltJo3y_FgZVeJ0TOKmiMpVjPk1tX_7pSsZ-dSoyYg2ExC6gtb3_MtJfOjl_u-5K_2ADHmpr5Lsb0n7ZgId57LjsbwoyaJj0207JarYvwUDvosw9vDL1ynR6DHrsD3v5AKoC2w%3D%3D,2023-02-24,2.6,2.2,2.0,2.1,2.0,"Roma, Italia",Sconosciuto,Azienda - Settore privato,Sconosciuto/Non applicabile,2014,Architettura e ingegneria,"Servizi di costruzione, riparazione e manutenzione"
Melia Hotels International,Barista,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001868345d2308b35c6a2dbdbcce5&src=GD_JOB_AD&t=SR&vt=w&cs=1_4d619c97&cb=1677239636886&jobListingId=1008414328215&cpc=0D76E540772BACE7&jrtk=3-0-1gq1kbkifk6f9801-1gq1kbkivgfoj800-09de4ad7c77580ce--6NYlbfkN0AYh1hWWeNHDA9ieejzKlANd9LP2chDJVrvhqP-zKsUohwt0RSHARk90jhSgstWJHMdaeU5d3ImnP4-t6drKSNWucfI6flFxdjuNlzJcQmM3DOIeXm18EWU-HLcksE-1ectEFJnR85k0nZwb11o3FOzHqB6gC5y4Ngv9JMTRheg-yRX2xRku2cVWud5T_OfbZYSaBS0Sy95HlgyLa74laKxvfV98JtBlniw-H5wmdW9I6ZKv-Xtay25lmfJKex7ZGgfCRkhImqRd-I0g7i3Wbw8zN6YEQeDUyW9vrpOlI9kWJR-lQTqoZ75-UXAGfX9cN7c-sfN26j3rrJFxDyKWkNFN4BpNrU9Hd13IKCgLUbHKHJv7N8ncbhig96hc9euXWa2aw8IKj31zQ6sJJJC3R7nE2bEP8eWAtoo9eCaFKS4rJjJC6GBg-fGYEXOlY2vgzP05_45veZldlC8Da7PYZ9GPYqBg5RiZQ18oMQGpCD8adI6CLkpYsIBDNEU0068Ri7eayWDfNK5BYC_XTKQlIik08gLFKJF2HbXV3vOAWi9mprIzTOuBFOoxruaqKwg64aBfAkyCSfRfCIImsrR4W7lEGpCpvNenolCJ68uonmc_VmfMk0D2sAkyqA8PmuSv-tdZd6msYgUfw%3D%3D,2023-02-24,3.6,3.2,3.6,3.3,3.2,"Palma di Maiorca, Spagna",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1956,Hotel e resort,Hotel e ospitalità
Saipem Italia OFFCO,Security Officer,Italia,,8 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001868345d2308b35c6a2dbdbcce5&src=GD_JOB_AD&t=SR&vt=w&cs=1_3c206ee2&cb=1677239636886&jobListingId=1008474128563&cpc=ECF50B846154F74F&jrtk=3-0-1gq1kbkifk6f9801-1gq1kbkivgfoj800-f8f3465280bc418b--6NYlbfkN0CsDm3IUperF1RINdpGHLuhgFoi3Ntjo5CuBDSv6Xb6c2scNx0yUYfBgcIMqq9pQJFGLQwIdpDybKZfy4JQqahjxFN5V8nL_yfSI4QbxTWXdRfUKD3P9ZjUB8gMrDPF-MNachTuxxhv8NlhO_Q0_AE9YqHg-syf132R4qvrjoc69ojbvB6f8ckLxhGBKYN559YsG-QJ-CVwofBUEI2uXec5sv3vgkzG29cdts1DBfQBhnLrrydZlwAqeh15l1DXbEX4AkTiCp33XHc7Q7Xp8XkEtU8B7t_kqsZMip_BJcJ4RfmE2pMpff9apnGwO8JVjTvtD5w51FqCCLTcaXoHjsGNqlvTSD6fLLYtATd0fSnp6p11EMA7BR0Xe-5KFEBRf4vwm129S-j25v0gS2AP0Qj9H-uWeWisJ0Ks8mPmXnL0eK7jVLfzPJ7cujFv6gX-CMwZiFskhWfvAetjXWlHf0EPRVGzY3z3PCZani7JaeMhjdChY5ihqg3qqji2fGCbFeFBDs5KLrm6o0vcy2cb1sOLiixvnhJ23yBsDdphMy1NZyorkHyUCWXNS2NegTDqSFbGKWuF5c-nJCTXLgz58JBjMf9RFbCGQ1EHaXrxp3nze6KKIEPqMQD1Iadnw3eER25JSYeFFdHTikIa5_nVlBzEQkhXAyzP5cNVCYWG9k6GMml8cqB9BKtEP8bSdLrIdFJBbKyyDn3SaT2a4TaRPVCyFGEgXHWTHOU%3D,2023-02-24,,,,,,nan,nan,nan,nan,1956,nan,nan
Verisure Italy S R L,Rappresentante Commerciale,Italia,,23 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001868345d2308b35c6a2dbdbcce5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ea04c1fd&cb=1677239636887&jobListingId=1008440675399&cpc=783E0929E0928ED3&jrtk=3-0-1gq1kbkifk6f9801-1gq1kbkivgfoj800-a64406a40f86b3e4--6NYlbfkN0AahMpHASL-rqQOt-rayfGPjlZqDLP80wvjLoSAvCb3DA8jzMeSm_CwGEu8BCQJ2UNcwUanCnVG6PWv8FBn-VlNlmE1L5yIBxUbYx1Aw0cKSB0sZDzcNlvShYGc4ODixXhoRNSO4HV7iuGaF84Lf_y23AGGQ2LwYvkkyPLMuJbqCgytvyeyCeC__-VwDTMS2TRDWKrwJm6qhj3UDmxJHdXFx0da93Icu6MgAqONX05r1nK1vTePUnbXesBPWazJvGoQZ3D7YUI06MG-4FvrOdFWsJFRqEElb_XFvoFdbgSqB61Wq_-0t-qMEgZnJNSNiNPF7n2Hc16yJD74UBRcT0VkdnfTrj1O2hrHvzF5URYs96v2yHCl13lvGVLs3ynqAEmMp4ADtu_XPHWobAmC5aemn1Lnw62K4eUhxQhgp8cRg4v-8GFqDuCdET4kkRjWAKIwwJYm-9av00qoAF90bzKnnwFeEhqK_p_ydaSr0pxIgL153j_L-WZradhSIlwf546DJLdv3Nqu7FDWucO-AHfOKyxMtK8490M9N03Xn4YMZ4c945zDen30D7XS3eE3HHGvMXQkmBAwueqOxywz4dVMTWWFIt0ElJI%3D,2023-02-24,3.6,3.5,3.3,3.1,2.7,"Roma, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1988,Servizi di sicurezza e protezione,Management e consulenza
Findomestic Banca S.p.A.,Operatore,Italia,,1 giorno fa,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001868345d2308b35c6a2dbdbcce5&src=GD_JOB_AD&t=SR&vt=w&cs=1_95c90d21&cb=1677239636886&jobListingId=1008487360950&cpc=214153447B1391FC&jrtk=3-0-1gq1kbkifk6f9801-1gq1kbkivgfoj800-03e07553b7555246--6NYlbfkN0CyelwOgLs6HOGDMccZNmBAJGrtKCkwEm_4BRBAjw2Xj95lbBt2RbjQQMWBYvh1hhQ6BHZUBeIRXfBpXFypip2CgqCK-UY3yaDgHNRGoyVUqnaTx4QZBYnHXIp_C76dj5AS_-Tsyp2PqoeHjVvfzxPT8gaCXv8FnQsMww-gYjbU6r7USxtrDUqy2FzNXQ2Y8lYKD2O_YqPwlsTWiq0NFlWtLe1mrG5R5Npt_rRc3oXiqn0nAyuumzQ0JKzpgtkIOumhyr9MJ5kBlMQGJ78rWZ0ebcptYqZL161a3dTSL88hojTk8NclegIAWBIEbiKs_58QzUtEwJMH4PCquPNsX6bMZEwT70MCs8U_6Jj68DsfNGYfNKELsGQ_GfIXBXMlRndMxZYWOddfprXefdPWOcqhsBRMxqPTKdNy4EuwQHvw7Vc-BUfPZQdfw3GDGPq6JRpIVw7L9_eOPZ1Vt4xT1HeKPb9BaYmET3nBaqwt4bWbQXILOaqZAmlEelSOWkGoAHVnDaaU01_myxRhn92hKBuRCC3e05YeBPw_WTdrGXSrLYcVViXtwHaZdVo_GHnHNxyxQaOz3DVXmDRljJoOkPCkW_UVedGmJvaeunHhcgrOLhydVJaQl0Tz0yA3jEsX3TRPAHlSXVWyed6y_jxD71p-BkX0-CNF3S7CHPf6YWYvQ2DCpCpKf_SYG_vTwSyQRjfKoQGZSXfQzd7go3qNMSsy-QpRf6HXd6WI26-9xR_4OjURz4iwyib4oqJciorSv40I9uWRV_vWFK89Zr21jgargIGawnPdE-DHraEH06QoYGw17ic4kFvbZusL2HXPx4_5Bmm1VUiRdhQlsy8RcIQVGnVUrOVkpR90705bjzkhFyTSRNTlvI_0Oi_8E2krYQM%3D,2023-02-24,,,,,,nan,nan,nan,nan,1988,nan,nan
Presbia,Medical Sales Representative,Italia,,30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001868345d2308b35c6a2dbdbcce5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c9ff20ab&cb=1677239636887&jobListingId=1008427549891&cpc=6E56E77887FF9985&jrtk=3-0-1gq1kbkifk6f9801-1gq1kbkivgfoj800-97dbb1249f86b218--6NYlbfkN0B8w9e-jVCzGhqBUgukvvpcIrUCsdRsAooLth-TTDada57S4RLUr9m3MxF0Lr244BwTYWFvQGyTt_x0Py1wUU-Yq2wuKQTGpxDsz5G2TPh7cJ-9iToPmAkdDpkZSW1E_Sbs9YU4H2qgQNdru0a3NhsqavgtTzmoq9QTihREhLXLturv8vuUs3BGHwlqgqGBnJgM6hKEXTb5pwxV1xGZKxUjYlRKPk6vriTpCMJvNTc1Ubz7nLQ9mcgJ8TKSJlOCsUEVJyDAl7ocaY4EmhEvle9KMH0QJ0_EsMn87YPyU9lOGDainpVFNZXAcbsTXrqB5DUjfcsxHcBOwgjAMNBQ2vvELoji6gG7ZIWfpjm4pG8jhtTpeR6c2U2ano-mHD-MWOBfjmCa73vV59q7OfuNqfEKxeucc7y9RpglYmDYwki779JP-sWkwFmOJyEtnxzAUKN5VqfpHi39UKG7zJa4_GESO5RSurDg92NFQuchZJyC6Kb5_PmsPJkHuo-Lg_jIphKPgQTjGD4hZS7PxC1n_1LGMvD6km2oALFgTgTi6-wnRmhZ4TFLkAxn_EjAi6ww_WtPI4OzqmZnlh8PwyK68IBx6nHx0Etj4KA%3D,2023-02-24,,,,,,nan,nan,nan,nan,1988,nan,nan
DENTAL CLINIQUE SPA,Senior Assistente Alla Poltrona Odontoiatrica,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001868345d2308b35c6a2dbdbcce5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9f4dd7d7&cb=1677239636887&jobListingId=1008328295369&cpc=FDA5FE10D8E00596&jrtk=3-0-1gq1kbkifk6f9801-1gq1kbkivgfoj800-16b82dd764911f0f--6NYlbfkN0BjrLiXh33nVJS5N8YfV80V89pLwIJlhdsTBpkWxGqF6UrCfrzK8weVAIyLuZGVEiL-R7VGl8_9RNCBQOXlrYCihPTyVGyU2rQG4-iVz98AKoBAuVxPO6qcVH2C48mewcANNidP1f7xNKPrY5gPEaKedSJgjW9J5KdBjiC1V3iQgLZlotW1N7DYBBZwM430a_l2I_mK1wGKK90xxW9qof8TneBO9keAGF9IMcMiUiTKZqEqVI8dVf7Fn810Fvn6WnTONZqQEdW_cHhKfQc_l0pBC3xEpY4Zr4lHmqfmnP6oxtpTsJbMZiOaa4bT2_GierZIq2jmkKx8wT5PKZAr9TBC24ZkcEV00ZgTZb4nBQ00AFU5xjx4tPEJlrl7SSL7K2jKk0GnV4alEP2TjvcaDsMHQcokrVe9xZP0GJQNZifPa-EMPHQ9Nyl1VuaCnc4d491_AYKEM9_W2KWDyn4LvbU62EI-5zKgrDPx6wYrKHLR8Qn1znxYEo4M8QPwKUKHVk1RYr7eVeQncrIYhPQvqPghZJxPiorx3oGbSH9pxTQi9q8kXlloOyX2_akWQGTrpE3wW5hvLhbQ5Vmua7sZjT93sktiL3gE3R0%3D,2023-02-24,,,,,,nan,nan,nan,nan,1988,nan,nan
