company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Guess Italia S.r.l,Addetto Alle Vendite,Italia,,4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018698311f118c40f72382a28026&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8a4a65e4&cb=1677590601834&jobListingId=1008489219957&cpc=7B914D47B0B0E7B2&jrtk=3-0-1gqc327pumbjm801-1gqc327qhimai800-e043527c3bd8e823--6NYlbfkN0CA67G_SAGmLKr1-1zGryutA_KuKy7K8eYaAWAKkAexSLJ-g7tP2z3xY-Pu5UHMF1qMw55Avltwl16sMkSCFv_vJsDlPdQawX3Q8Urk0A5Fn0Goe5HSk4X0ysuoN78ZLEGPzZ8Jv8Yc2wdjBZ12AdCgaqUCi15BR61eqsq0s1nzpG6O9CxIm86d4Kt0Co4NRgWn15-n1m4COunJGMiQ0FGOozH3wflIMMMJW0__9Lq_dizS0uSakoV2qRU2CtmGPr1Ft3r9UhPbL0bH2HLkb3CgLKLEPDUp_R3NEp1WGqKCNB4RzGhsZVQ-jY4qnF2K1vrVdEBtcFgID4gII5Qfir9qSgyELp5_Hi71OSFRlTYXgLqmJort3Po-FD9bUPd51u9bO7l9BCdqGAgcoB9sDUDMxNcAFt3oT4Da5C3F61t8QV2JQmgpPpB5Yjd14JUCJuhIS-uL5yTnd7HkIownKpEoNq-5R3GYIyvPSswA_9vXbZYum9UFobGOxF-Og6AQqtjsdRzk2rmCLeodJCuL50itKPccSYuAk8q3cotMKx3CC5hGMoAdgP6OeqZw_LdhOKdhfClARSUmTBNEW3PTM0ff,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-11
R&S formazione srl,Professore,Italia,5.0,7 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018698311f118c40f72382a28026&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7ed17450&cb=1677590601834&jobListingId=1008484664024&cpc=F86FB55FF2FA18D4&jrtk=3-0-1gqc327pumbjm801-1gqc327qhimai800-4d39435f81f390d7--6NYlbfkN0BzyisK0oENbqEFuDLcz4K0nM5jjT0CpBl6AZFuNwb4OcdTG6jwoCL_NMn51xN5U6Y1iVMM-kEzdKjm25iGAXqdBwgQ-7HZEGh1RK_YdUeK9FZdLk54kibMFpO6reHPtscVAVk7PbAEpiUebVYGO0J-oayO6Yjhl19bb16djZoLOam8jCo0E1eDzrDwGHm4Y5C3D9g8JhbxtXOEL1nszhuL8jCwaOtcTFkLwJhnzdO-b3-JNCVFj5jUKleuAygEBiV1fK5uXwhFlkAeNxBGPZFQPTzKocC7dyxuVnttYfEdk4kOClPYyjcT86fYMIof5YjWx8unRaggICMczruG3KCcfxBHVn8_rp31X0nSdUs7gaLKLf1wS-DfetSFaykv58Lx__U18RwRWqNcFa6pcwlXsTqhgUu03HT7mD3ZRLj5dpZ2vfOF3uYGhzrXA1mvzudweCA3rMDZZsetCVj8wEpcf5OHYQSZDIEF2LpYWcfPhBMKFAvHRCygd46Hh97K7OnS3lxOrgUwju9AtfLIulfmz3yp9LI_5Xid9M9t9lLuP11JmJEEbKAVBiSCPLw-bwVAACtmjtioR9IKawwWnZ0_,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-11
Guess Italia S.r.l,Addetto Alle Vendite,Italia,,17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018698311f118c40f72382a28026&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6c9830e4&cb=1677590601834&jobListingId=1008464381753&cpc=80CA950050679DE4&jrtk=3-0-1gqc327pumbjm801-1gqc327qhimai800-7477f64e3eb1b4da--6NYlbfkN0CA67G_SAGmLKr1-1zGryutA_KuKy7K8eYaAWAKkAexSLJ-g7tP2z3xY-Pu5UHMF1qyJ8ZQo784jUGrHvaprqR1dURmLSaWmQNpeRe65l5kDl7m5t6PYQaH9L9-WSsaSQJa6GWRfJ6qNsKGcdJRAmTTOu7AWq5fd00qyjUU60fQXw30SwJsUsD8VSvwoqUtkI3gLS7RB1g1dRnvsz273cnKZCF9DHpl_D16oC2TN0C87Tr67m968WjaDL_nPAcXWsQYPey0qXKjSFExKEUYJPItN0ZpgAxENZiorIxMImDzncKqxxLYA47nHzDApE_dFwL9TnvTXYMD6NFTbtbvwIJcsv7woWwXM7vqrwxKfs2SVFMKBThMQhWNmsZ4ZULb44JoKKi0G7V4EOIPfT6jyfl2D5Ycz8QQ_H5xeERrz0VDHfn6RUrH3M0ffoJiDkApXZxIgKNJmFOhlDP62Ot0FI5tBMGn30t1i7X9tB8c_1XLSEEiEMxtDBayFS5bOy-Ucf3qfM4bFNQKtoBK69NOvKRmiAtv3OGy3dUCg5VMP25huftQ8Ec_nyu_ks_4FkMnV88kZgXyqYvyQu0GsIDzsgUMsOjehm3wqYcaZLmXvqlKqFm3ZbFYK14k,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-11
Verisure Italy S R L,Rappresentante Commerciale,Italia,3.4,27 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018698311f118c40f72382a28026&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_526e5c03&cb=1677590601834&jobListingId=1008440675399&cpc=427C69BCF34A3160&jrtk=3-0-1gqc327pumbjm801-1gqc327qhimai800-a64406a40f86b3e4--6NYlbfkN0AahMpHASL-rqQOt-rayfGPjlZqDLP80wvjLoSAvCb3DA8jzMeSm_CwGEu8BCQJ2UNcwUanCnVG6PWv8FBn-VlNlmE1L5yIBxUbYx1Aw0cKSB0sZDzcNlvShYGc4ODixXhoRNSO4HV7iuGaF84Lf_y23AGGQ2LwYvkkyPLMuJbqCgytvyeyCeC__-VwDTMS2TSWZJh0Waqn1YJWx6MfgCbWlVQpsTx-iWejxPUhU1OYbLuBWtUtfX_EqZQmGURG-fk-SDt5rY7b9HfAvmCyNBHxt9O7eJ5kE27Nynhh16lAh8ikASG77iI4heTTX0to4PE7gu5kWfgyb5TlaqTmiozY9RxA-AuSpP2bZ1n3XmQj9JUaq0Wpc0jbDIwhOlGCtF1aRRHrM4MbbPBneZjovfZHv030BE5NtoVOdIZ2puNAF1DOVkhSnyFCPMDcx4N82VDWUfSbyPzE-LLdmPoWu0sIr0Sfv5vX4ZQXENZ8KCqTOSG7UObvSDRP6s1jPaAKW-NPpTBTgn0DgTufY8M7tV90UqTiM_teR8Hpk0c1sd0EZM0JUoJ4lGbXt9hZ9SV3FIyYohZdl2T_2zmDSiBFYmE3,3.6,3.4,3.3,3.1,2.7,"Roma, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1988,Servizi di sicurezza e protezione,Management e consulenza,2023-02-11
Yeswework B.V.,Geometra,Italia,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018698311f118c40f72382a28026&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_589adc25&cb=1677590601835&jobListingId=1008495483149&cpc=9507B69CE123BFBE&jrtk=3-0-1gqc327pumbjm801-1gqc327qhimai800-5d2ef04dca78a1e1--6NYlbfkN0DVWVpzXZsQsPbvuwLc2lWa_WplDJfu0i7onwuQrPPz4l2iGxSSD6fQne0H9hcBX-W0qVFp4K2TM7zmoe_AYEqV1HDS_uRUw-t-4UCkU5gwI3X48-zMjMXC-rewkFcs1KeU7mJW6div4X0xnFzwBdLlTksf1RFcSSGgsQfZ1HjGDTaKBWRoVZ6FBCjmF12N3FLCPHQHuIbRW_R2JRanuT_SSYNDGTomMLvJEH-PtOxygEKgNpd9zx_cCOrAffQSvRoqoA-7vpx7fB7ZjXL6ND0rp7w-rxJ7ydx0kF1L-Teoaje2eqgXMjFwO-kqH1LoxY-F8cZiGrsyKJyFZ1l205G9_uxw4EdanVjWvdZvl6AVkfxdeQorUESsrmfNjbO7MRzoO3JVWYGkXhvndOl4Qc4gAEIHJ0E-OLobvf6ZuAHGQBdSyQFgknOUX5khYzRqPlnDk4bsyikYn6jD5I05A8cp_fybLiXEIUXDfLmg_fEoYVKDiXMr7-wFijAG-7hIMGNM-fJY_T9RhvyYy9_a1AM_fijDQXb0nU-TRO1bGfoc91q11mTezKHV2oTI7xjO4ZM5cijTqBPcCZVSuKy1pLQ84C44WWCz6UU%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-11
Facile.it,Responsabile Commerciale,Italia,4.2,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018698311f118c40f72382a28026&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_864c1820&cb=1677590601835&jobListingId=1008428542711&cpc=23D1D7905F5E0EF7&jrtk=3-0-1gqc327pumbjm801-1gqc327qhimai800-9de9e4429e682922--6NYlbfkN0BmDrR7OGR9gJmF054fDOj_Irftsb9Ib-ykftL4-GTXRFTKRWP4aEhPdtGYU0uzziyByPg69YTdLMCakA6i5STr3NYrHxVntkiwvre1ra5QIHsBWyWtRjkykNtrmuTRG03d6CE59kcbq_G3XYOw-Dckdex0aHIaQSEw2-5GIcynhmAfsfTrPXNt8g0CMHdckV8ssShH93e-1ckL6asZIaa43RKdxy8h1FSpRB1AY3v5C7vVlvfskyqxZgiv8btMQGS95xU0EbgaR4PNDg67hHwIK4DP-bHFd14GjFMQ9jw_HJF_M_X07uegSuQmNt5skhMBEiZKf__bZwAwAIzYlW-DZm2B-6F0k5yU6XzcubI5cAaok2JJY5-O-BbPEA18PIdfyTo3_LZpHrTXnYgPCyb8teTiW8Qb0Tb30BKaXjotJoKsut5-cJV1TjWGljApqqJJjz8xdP2Gscm33AgBU95U8dvDsJavcQsAnTg44wnOMdEnvCus0zBOZANotCehtJjeITOINpnRcEik5VivimB7lTAZY1AdwUtO2p7Tw2jaLBK66O7MZ9t7dfpZAEhzCoMazDXLCDVS8ITKQmvfbacUem2XVgjlwL3rrpKb0e0v9wOCk2GYmfIJ1z5LyBvUGUfQRkbpvKFltAYnXtClt-sC,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-11
Dentego,Odontoiatra,Italia,3.6,11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018698311f118c40f72382a28026&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_10c27e87&cb=1677590601835&jobListingId=1008478069058&cpc=F4855CAA298D352E&jrtk=3-0-1gqc327pumbjm801-1gqc327qhimai800-a74ffc6e5b65210a--6NYlbfkN0CTrm4o9Q9YDJAd4e6Wx7ktIWl_mhvRAUtKHsqvTVxUxsGQqx5rurymRocrkVkzkvMF82D6b4yriA5haV9mqddVXr92RqWTsKGtGggG6RC0nBr63YQdGM1Ac05wyZVc4oWtey9v06ofvYHKAhA9Ukrmjl61LV5RQx8OlNJ4-sXviMjqkdIBu7KAB1wLf-0BkepHD2d-vKEkPj0U1puksQc69b7ITP8Uz4mHByB7L6ZCFktOkqNbJ0lWtVMj6O7EnAQd_MLY5_p3XxzY9RcmYoSKMX-5SR8LHpHzftWU1S0reUuD1yVDxii4MygWQnQDYZr359YCIgdHdqJqPIQYcbUcPRJ5Ay0aiThLkiQBaM0mMlEYKz1psnmVF5LwQI0qOBUNi5RXhvXnOYmRecO9xgTmSagd-7xHqYFfpD3Gyf6IDoAT-YooUhr4Sbh_zcHiVOT1xoQT0n-VMWMKVsYxksIhQB04ZFNSMaPT5uFVR_CbzredV7_etY6HmgpyZ6ekk5sSPJp2btD0pYy8Sfhen9lTXw86kJIgPro0Vjpd82SbT91bn7TD2esXAyywT3iwkoweXhB_eC60G1IHKEspH9ruRgomNftxNU0RsbHNK0X8SF-OOzXMWgg9So3oTqe2OEcBp8iDDRIyXA%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-11
DENTAL CLINIQUE SPA,Senior Assistente Alla Poltrona Odontoiatrica,Italia,,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018698311f118c40f72382a28026&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b0851685&cb=1677590601835&jobListingId=1008493399811&cpc=678FF63AF7ACCB7E&jrtk=3-0-1gqc327pumbjm801-1gqc327qhimai800-c70cc7f50e0abec6--6NYlbfkN0BjrLiXh33nVJS5N8YfV80V89pLwIJlhdsTBpkWxGqF6TVdpRsKk_rLRVr_kfP69iXA6DetfKTRgtz5iWLvk3iMAuS0M3ohjjCPPJzpT1yLEllNyLpG7WBkCtBqtYIPV1EKqFOQy-kQ7Wg-wV6mFBsd6abyolduMDnFH6bBzadrjlNovgLhKVtcn6ljosS523fM2ZuglqbPTCacBwQPN4zS5yB_tRfgA6fiOJrkeehk0uE4bqThXzI-nOOC5SihmU8-t36eWxBSsu2-gK4YXMrFMd3v0a9yX8SiIHhsQi1vcNSVHpyeBPLc4vPjY_0V85LrBUpInej_uCsADR7-5XownaXCCUvCGMRpG548B7LfF8uNhJjeO8jXxcaWrYj1TdEIzG4ndKA7YsmXarDP-A-9wIzvatqzXAGyS14sW1eKyEKi-RW7XGIcjMP4WaZ86LM6EqzqijF0-0V1BqqjICG9TdkEGFvx5n6CSdZKzwQ0HZNZEhayRW0bwvCFbHxxogqKKPCQz7xHW-h1QK0_dFpP6eLfP8cE8eF_fTSOJX6eJQVblUwG8VNYsAjsRGrdxy9Ib50bUYv0sisQbfmFiAeI,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-11
GEOSYSTEMS S.R.L.,Programmatore,Italia,3.0,27 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018698311f118c40f72382a28026&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f4bc6b48&cb=1677590601835&jobListingId=1008443194700&cpc=0A88B0016E52E137&jrtk=3-0-1gqc327pumbjm801-1gqc327qhimai800-4e9fc859bdd338fd--6NYlbfkN0DUu9eo9E1ZhaklJd5FfTtI0Hj_PIjJKVXmNaCSc-Vacgf5QB-SGlTXBuo1_ZvxTuGc8BF8TUuqYDyELmEY1a3iO9Hij5usfCMZYxthwPDX8qYh_XSYt0_DO9pMmdVztJxWT8hpKbwz1XY-ybJDyByy9hiIXwZ_aef7y9C1y29NlR5wZVA5vOuXnINelsmfBFUmySBr6KstfbB2xNe_2_6qGK29fBAixtRQT9soXs2ODTnuYJXsP0uZswB7EbCQof8sQYliq9ku50zOcL7FzoRmqo39L_lZR8Q1EMwWbqbgP5mMEqcekwa5YOoBzYoT_xnEpTmdj8if2ydre1iO5XghZ3HwffLxM0WYp8sBpKPPR3hyn1Xx0xe55SdCuguN_jq5kOsnhTaun5t7c_oAJXwaropkGeQXQv1f3RfGTJu_d6_9ziREPsAP423s8sMH1F-shn7p0nUMUL8mtxyVv2bgPtHpB5Kj5sZEltAiV2PvwEtO1Qm1DSKN9nTuO6J640nYWySlPeAbOT_yMp8qZoXTOp8VFuBer7JVAQp9bJTNW48zoo5uu5HGzUqt3crspF1lNab9Eyql4w%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-11
jobtech,Junior Supply chain specialist,Italia,4.8,7 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018698311f118c40f72382a28026&src=GD_JOB_AD&t=SR&vt=w&cs=1_5cf07af7&cb=1677590601835&jobListingId=1008482957293&cpc=632C08DE5A4EA969&jrtk=3-0-1gqc327pumbjm801-1gqc327qhimai800-dee6188b6d7f5fb5--6NYlbfkN0BhUQ-HNNcduSXnf43rV2y15v0z_WsvNujsSbY0-jJgEY4DwK68Vcwz61Og1OIN7jp-5Cex5iAOrmsnhDDsX5ovaFxdSiiY5CCvwUu94ZUvrEg1Dobty58Pc75yjiE_CxbmuUTgmKA4R5gwBBXuBXz28QeduK7IHoljhRXEqGl6b_R-iO5meSiPoLBCbTS9wPjGe4mfpGxGizRsjE69aiXuFDfTDHmzQZPkjqXGYF3b6c4nCU1DPW7mBjDrX0lrBWiQnWDGeHL3SS0JIlhbGPvVi07ziy8rPBV0q6w18DqeW7ZQEWY0ESVKukzX-6ulbJFVCgb80htEVlOWaYY6-Ntrry2l11MPpOhGIZcgxOIPo6w45OygKIakCZxPVyY6PaEYmij2UMxWDviApmz9fnim_BCPCcuRWkQRu-7j6AfhdzZu9n-7NfhntCvVngpzVAs3BiZkYb9I0D4S44HFutzGr5WNNjI3FylUvAb6PJQONQKJfUgO4js_PL4jJ-OD0Qos3TDOOSyigtSQ0jfKP0vTBgoOZtJCu6iTroA_D4kEE5Cu1Hl55McXMk2Ywe4thVWEeXTdEvuMBPv6CrJn5bBOOT2NTIFnDi4lCAM3oo9lQeGY3hcOI076sNcuKpEWd_ilI8vEY0Qc0w%3D%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-11
